流水号,会员ID,账变类型,账变币种,账变金额,账变前余额,账变后余额,关联单号,账变时间,操作人员,备注
"WTX2071147646662881281","2064639738030649344","会员游戏","USDT","2000","25798","27798","2071147723852206080","2026-06-28 04:24:13（美东时间）","--","--"
"WTX2071147521609707521","2064639738030649344","会员游戏","USDT","-1000","26798","25798","2071147723852206080","2026-06-28 04:23:43（美东时间）","--","--"
"WTX2070913521258164225","2064639738030649344","会员游戏","USDT","3000","23798","26798","2070913581143150592","2026-06-27 12:53:53（美东时间）","--","--"
"WTX2070913324952154113","2064639738030649344","会员游戏","USDT","-1500","25298","23798","2070913581143150592","2026-06-27 12:53:07（美东时间）","--","--"
"WTX2070887049039851521","2064639738030649344","返水","USDT","12","25286","25298","2070887048724344832","2026-06-27 11:08:42（美东时间）","system
system","系统自动派发"
"WTX2070887039472644097","2064639738030649344","返水","USDT","12","25274","25286","2070887039148748800","2026-06-27 11:08:40（美东时间）","system
system","系统自动派发"
"WTX2070886513192349697","2064639738030649344","活动","USDT","200","25074","25274","2070886512881037312","2026-06-27 11:06:34（美东时间）","system
system","系统自动派发"
"WTX2070886026661474305","2064639738030649344","活动","USDT","100","24974","25074","2070886026379522048","2026-06-27 11:04:38（美东时间）","system
system","系统自动派发"
"WTX2070881677046591489","2064639738030649344","返水","USDT","12","24962","24974","2070881676697530368","2026-06-27 10:47:21（美东时间）","system
system","系统自动派发"
"WTX2070878072486899713","2064639738030649344","返水","USDT","12","24950","24962","2070878072142032896","2026-06-27 10:33:02（美东时间）","system
system","系统自动派发"
"WTX2070862385085296641","2064639738030649344","会员游戏","USDT","2000","22950","24950","2070862494619197440","2026-06-27 09:30:42（美东时间）","--","--"
"WTX2070862228465790977","2064639738030649344","会员游戏","USDT","-1000","23950","22950","2070862494619197440","2026-06-27 09:30:04（美东时间）","--","--"
"WTX2070851932300914689","2064639738030649344","资金修正","USDT","-100","24050","23950","2026062712454978428","2026-06-27 08:49:09（美东时间）","xiaoyuan
xiaoyuan
xiaoyuan","--"
"WTX2070838784122564609","2064639738030649344","会员游戏","USDT","-1000","25050","24050","2070839090377711616","2026-06-27 07:56:55（美东时间）","--","--"
"WTX2070838535819767809","2064639738030649344","会员游戏","USDT","-1000","26050","25050","2070838838509756416","2026-06-27 07:55:55（美东时间）","--","--"
"WTX2070838437257818113","2064639738030649344","会员游戏","USDT","2000","24050","26050","2070838587090591744","2026-06-27 07:55:32（美东时间）","--","--"
"WTX2070838272828518401","2064639738030649344","会员游戏","USDT","-1000","25050","24050","2070838587090591744","2026-06-27 07:54:53（美东时间）","--","--"
"WTX2070838116825575425","2064639738030649344","会员游戏","USDT","1950","23100","25050","2070838184319967232","2026-06-27 07:54:16（美东时间）","--","--"
"WTX2070837992212803585","2064639738030649344","会员游戏","USDT","-1000","24100","23100","2070838184319967232","2026-06-27 07:53:46（美东时间）","--","--"
"WTX2070837908767125505","2064639738030649344","会员游戏","USDT","2000","22100","24100","2070837932540092416","2026-06-27 07:53:26（美东时间）","--","--"
"WTX2070837751107432449","2064639738030649344","会员游戏","USDT","-1000","23100","22100","2070837932540092416","2026-06-27 07:52:48（美东时间）","--","--"
"WTX2070837438879248385","2064639738030649344","会员游戏","USDT","2000","21100","23100","2070837580466020352","2026-06-27 07:51:34（美东时间）","--","--"
"WTX2070837185669115905","2064639738030649344","会员游戏","USDT","-1000","22100","21100","2070837580466020352","2026-06-27 07:50:34（美东时间）","--","--"
"WTX2070836912996052993","2064639738030649344","会员游戏","USDT","2000","20100","22100","2070837076981768192","2026-06-27 07:49:29（美东时间）","--","--"
"WTX2070836732640980993","2064639738030649344","会员游戏","USDT","-1000","21100","20100","2070837076981768192","2026-06-27 07:48:46（美东时间）","--","--"
"WTX2070836655558062081","2064639738030649344","会员游戏","USDT","2000","19100","21100","2070836674261475328","2026-06-27 07:48:27（美东时间）","--","--"
"WTX2070836475806969857","2064639738030649344","会员游戏","USDT","-1000","20100","19100","2070836674261475328","2026-06-27 07:47:44（美东时间）","--","--"
"WTX2070829557639426049","2064639738030649344","会员充值","USDT","20000","100","20100","OTX2070829389762641921","2026-06-27 07:20:15（美东时间）","system","系统自动派发"
"WTX2070822199173459969","2064639738030649344","资金修正","USDT","100","0","100","2026062710403515496","2026-06-27 06:51:00（美东时间）","xiaoyuan
xiaoyuan
xiaoyuan","--"
"WTX2070819302746501121","2064639738030649344","会员提现","USDT","-15850","15850","0","OTX2070814837771714561","2026-06-27 06:39:30（美东时间）","kf001
kf001
kf001","--"
"WTX2070819302742306817","2064639738030649344","会员提现","USDT","15850","0","15850","OTX2070814837771714561","2026-06-27 06:39:30（美东时间）","kf001
kf001
kf001","--"
"WTX2070814837826007041","2064639738030649344","会员提现","USDT","-15850","15850","0","OTX2070814837771714561","2026-06-27 06:21:45（美东时间）","kf001
kf001
kf001","--"
"WTX2070743546753019905","2064639738030649344","会员游戏","USDT","2000","13850","15850","2070743711879585792","2026-06-27 01:38:28（美东时间）","--","--"
"WTX2070743331778162689","2064639738030649344","会员游戏","USDT","-1000","14850","13850","2070743711879585792","2026-06-27 01:37:37（美东时间）","--","--"
"WTX2070743072696004609","2064639738030649344","会员游戏","USDT","-1000","15850","14850","2070743309050241024","2026-06-27 01:36:35（美东时间）","--","--"
"WTX2070743030232870913","2064639738030649344","会员游戏","USDT","1000","14850","15850","2070743057488470016","2026-06-27 01:36:25（美东时间）","--","--"
"WTX2070742895608295425","2064639738030649344","会员游戏","USDT","-1000","15850","14850","2070743057488470016","2026-06-27 01:35:53（美东时间）","--","--"
"WTX2070510776030162945","2064639738030649344","会员游戏","USDT","1950","13900","15850","2070510927927894016","2026-06-26 10:13:31（美东时间）","--","--"
"WTX2070510579493466113","2064639738030649344","会员游戏","USDT","-1000","14900","13900","2070510927927894016","2026-06-26 10:12:45（美东时间）","--","--"
"WTX2070510395761979393","2064639738030649344","会员游戏","USDT","2000","12900","14900","2070510525161463808","2026-06-26 10:12:01（美东时间）","--","--"
"WTX2070510192413732865","2064639738030649344","会员游戏","USDT","-1000","13900","12900","2070510525161463808","2026-06-26 10:11:12（美东时间）","--","--"
"WTX2070510147756978177","2064639738030649344","会员游戏","USDT","1000","12900","13900","2070510273507418112","2026-06-26 10:11:02（美东时间）","--","--"
"WTX2070509960934289409","2064639738030649344","会员游戏","USDT","-1000","13900","12900","2070510273507418112","2026-06-26 10:10:17（美东时间）","--","--"
"WTX2070509922111811585","2064639738030649344","会员游戏","USDT","1000","12900","13900","2070510021920481280","2026-06-26 10:10:08（美东时间）","--","--"
"WTX2070509742734012417","2064639738030649344","会员游戏","USDT","-1000","13900","12900","2070510021920481280","2026-06-26 10:09:25（美东时间）","--","--"
"WTX2070509550597140481","2064639738030649344","会员游戏","USDT","-1000","14900","13900","2070509770249658368","2026-06-26 10:08:39（美东时间）","--","--"
"WTX2070509474290167809","2064639738030649344","会员游戏","USDT","2000","12900","14900","2070509518599806976","2026-06-26 10:08:21（美东时间）","--","--"
"WTX2070509275698262017","2064639738030649344","会员游戏","USDT","-1000","13900","12900","2070509518599806976","2026-06-26 10:07:34（美东时间）","--","--"
"WTX2070508979244855297","2064639738030649344","会员游戏","USDT","1950","11950","13900","2070509015300104192","2026-06-26 10:06:23（美东时间）","--","--"
"WTX2070508896751284225","2064639738030649344","会员游戏","USDT","-1000","12950","11950","2070509015300104192","2026-06-26 10:06:03（美东时间）","--","--"
"WTX2070508713825103873","2064639738030649344","会员游戏","USDT","2000","10950","12950","2070508763570561024","2026-06-26 10:05:20（美东时间）","--","--"
"WTX2070508514188816385","2064639738030649344","会员游戏","USDT","-1000","11950","10950","2070508763570561024","2026-06-26 10:04:32（美东时间）","--","--"
"WTX2070508457146281985","2064639738030649344","会员游戏","USDT","2000","9950","11950","2070508511941681152","2026-06-26 10:04:19（美东时间）","--","--"
"WTX2070508253806424065","2064639738030649344","会员游戏","USDT","-1000","10950","9950","2070508511941681152","2026-06-26 10:03:30（美东时间）","--","--"
"WTX2070508052429500417","2064639738030649344","会员游戏","USDT","1950","9000","10950","2070508159737585664","2026-06-26 10:02:42（美东时间）","--","--"
"WTX2070507870849691649","2064639738030649344","会员游戏","USDT","-1000","10000","9000","2070508159737585664","2026-06-26 10:01:59（美东时间）","--","--"
"WTX2070507435390021633","2064639738030649344","会员充值","USDT","10000","0","10000","OTX2070507201989820417","2026-06-26 10:00:15（美东时间）","system","系统自动派发"